,version_count,total_gross
238,8.0,147253986.0
239,1.0,144731527.0
240,4.0,139313948.0
241,36.0,137400141.0
242,7.0,136801374.0
243,5.0,136025503.0
244,8.0,134218018.0
245,5.0,133378256.0
246,8.0,132384315.0
247,3.0,130444603.0
248,2.0,130319208.0
249,2.0,125544280.0
250,7.0,125322469.0
251,6.0,121945720.0
252,2.0,120146040.0
253,15.0,119500000.0
254,7.0,117538559.0
255,6.0,117154724.0
256,7.0,116601172.0
257,13.0,115821495.0
258,11.0,113804681.0
259,7.0,113721571.0
260,7.0,112200072.0
261,4.0,111127263.0
262,10.0,110485654.0
263,13.0,108766007.0
264,16.0,108385533.0
266,3.0,107509799.0
267,4.0,107325195.0
268,2.0,106885658.0
269,5.0,106807667.0
270,7.0,106593296.0
271,23.0,106580051.0
273,8.0,103860290.0
274,56.0,101802906.0
275,7.0,101631272.0
276,12.0,101295562.0
277,6.0,101157447.0
278,6.0,100920329.0
279,14.0,100768056.0
280,7.0,100539043.0
281,4.0,100492203.0
282,6.0,100246011.0
283,16.0,100206256.0
284,4.0,97690976.0
285,6.0,95347692.0
286,9.0,95020213.0
287,8.0,94835059.0
288,7.0,94784201.0
289,2.0,94175854.0
290,6.0,93953653.0
291,5.0,93466502.0
293,5.0,93354851.0
294,8.0,92186262.0
295,13.0,92115211.0
296,1.0,90464773.0
297,14.0,90418342.0
298,3.0,90135191.0
299,1.0,88237754.0
300,9.0,86907746.0
301,7.0,86303188.0
303,8.0,85196485.0
304,22.0,84525432.0
305,13.0,84351197.0
306,20.0,84273813.0
308,11.0,83563139.0
309,8.0,83015089.0
310,12.0,81198894.0
311,1.0,80270227.0
312,9.0,79727149.0
313,2.0,78685114.0
314,2.0,78616689.0
315,2.0,78000000.0
316,12.0,77698625.0
317,3.0,77233467.0
318,7.0,76631907.0
319,6.0,75982834.0
320,2.0,75976178.0
321,16.0,75658097.0
322,1.0,75530832.0
323,13.0,74865517.0
324,13.0,73707461.0
325,6.0,73648142.0
326,4.0,72286779.0
327,10.0,72217396.0
328,3.0,72006777.0
329,8.0,72000000.0
330,8.0,71518503.0
331,1.0,71516617.0
332,11.0,71441955.0
333,17.0,71319526.0
334,4.0,70687344.0
335,11.0,70600000.0
337,7.0,70405498.0
338,3.0,70231041.0
339,15.0,70172621.0
340,4.0,69847348.0
341,1.0,69772969.0
342,2.0,69599016.0
343,11.0,68392977.0
344,9.0,67659560.0
345,7.0,67642693.0
346,4.0,67638368.0
347,8.0,67436818.0
348,5.0,67355513.0
349,5.0,66934963.0
350,5.0,66477700.0
352,8.0,65207127.0
353,26.0,65187603.0
354,6.0,64616940.0
355,3.0,64167069.0
356,8.0,64006466.0
357,13.0,63766510.0
358,11.0,63541777.0
359,2.0,63414846.0
361,13.0,63270710.0
363,7.0,61389680.0
365,1.0,60944660.0
366,9.0,60674817.0
367,2.0,60652036.0
368,7.0,60457138.0
369,12.0,60088980.0
371,3.0,59694580.0
372,6.0,59509925.0
373,17.0,58055768.0
374,7.0,57377916.0
375,16.0,57362582.0
376,5.0,57262492.0
377,5.0,57167405.0
378,11.0,56569216.0
379,6.0,55973336.0
380,8.0,55956187.0
381,2.0,55691208.0
382,5.0,55675313.0
383,8.0,55600000.0
384,14.0,55432841.0
385,1.0,55250026.0
386,5.0,54830779.0
387,17.0,54544638.0
389,4.0,54149098.0
390,5.0,53854588.0
391,9.0,53695808.0
392,15.0,53375488.0
393,7.0,53374681.0
395,11.0,53315285.0
396,1.0,52880016.0
397,2.0,52330111.0
398,2.0,51758599.0
399,6.0,51438175.0
400,15.0,51270765.0
401,6.0,50865589.0
402,6.0,50824620.0
403,6.0,50572589.0
404,22.0,50474843.0
405,3.0,50282766.0
406,8.0,50081992.0
407,20.0,50024083.0
408,11.0,50000000.0
409,6.0,49772522.0
410,16.0,49364621.0
411,6.0,49200230.0
412,18.0,49042224.0
413,1.0,49033882.0
414,5.0,48751189.0
415,5.0,48478006.0
417,9.0,48143579.0
