,log_gross,votecount_clean
422,17.66216726507517,612238.0
423,17.659431923212267,17630.0
424,17.658898706382065,50084.0
426,17.650536097592923,60658.0
428,17.644171584695478,155945.0
429,17.641072500406803,13676.0
430,17.623521782227623,94856.0
431,17.62089879177075,10994.0
432,17.619402123378226,70286.0
433,17.616312776505737,43555.0
434,17.61207065665419,97999.0
435,17.601742740822107,20044.0
436,17.601191193423457,33047.0
438,17.598466840708475,53933.0
439,17.59730785525317,23580.0
440,17.5951402200869,29813.0
442,17.590240888864557,9007.0
443,17.590089681238485,28225.0
444,17.589313803242714,41155.0
445,17.58398392675154,69001.0
446,17.579218665550183,54352.0
447,17.57671676666253,36969.0
449,17.570271779094462,26422.0
450,17.5670746987385,73690.0
451,17.559946967879608,72043.0
454,17.549618101490235,16005.0
455,17.548932740076783,26862.0
456,17.545705716703573,6509.0
457,17.543520600978116,116462.0
458,17.540775146274704,57404.0
459,17.53904667192128,34379.0
460,17.53619267846774,20905.0
461,17.535915132276067,140887.0
463,17.52672846556534,123564.0
464,17.509436730942713,78510.0
465,17.506319574275135,55663.0
468,17.49618547169567,14893.0
470,17.489384515628796,25466.0
471,17.489140984392705,154790.0
472,17.480431817861632,40054.0
473,17.48026351983647,42793.0
474,17.472599893550985,43454.0
475,17.468515601803052,16185.0
476,17.466652136976972,55836.0
477,17.462238696902627,6281.0
478,17.45632526348127,53886.0
481,17.45527098383892,48288.0
482,17.450548605587635,27428.0
483,17.44705262045799,153647.0
484,17.444166487936346,79299.0
485,17.439621171085726,110105.0
486,17.43466553374651,90576.0
487,17.426976347523556,72208.0
488,17.423897161438862,96845.0
489,17.423590420123354,105944.0
490,17.42245360832688,17861.0
491,17.42158440569609,1690.0
492,17.420840019398195,47800.0
493,17.410089222667953,28656.0
494,17.40987332237733,178283.0
495,17.405404107567318,76220.0
496,17.401953910594287,41557.0
498,17.392428228135735,42917.0
500,17.378877638150165,17259.0
501,17.375463827756768,35444.0
503,17.362606002953342,31732.0
505,17.361474583939327,18542.0
507,17.35828145749868,21668.0
509,17.350574013738854,127161.0
512,17.33787316035231,28216.0
513,17.33346633199661,69468.0
514,17.332750587612328,15045.0
515,17.327641735664546,87537.0
516,17.322792473120074,6866.0
517,17.321572962548004,48720.0
518,17.31346050293777,68182.0
519,17.31309018093105,42672.0
521,17.303499056249414,32371.0
522,17.30234549001497,59148.0
524,17.299790054388243,46345.0
525,17.28817760355133,82136.0
526,17.28532024537409,62927.0
527,17.28286755233475,39460.0
528,17.27954967829247,40049.0
529,17.278318867040408,13216.0
532,17.27069606303171,79526.0
533,17.255330621430502,25042.0
534,17.253714633133203,52073.0
536,17.247305457879097,5934.0
537,17.241372649388495,14700.0
538,17.23736582200273,18635.0
539,17.227872054997185,40084.0
540,17.226759651478986,55847.0
541,17.22363717691509,24132.0
542,17.220483835284874,69087.0
543,17.219275008550426,11627.0
544,17.217985856076602,18864.0
545,17.21026254596516,37805.0
546,17.20706735146471,18851.0
547,17.19823567300793,23017.0
548,17.16886049096107,11215.0
549,17.168590823909064,9871.0
550,17.16351554484311,3497.0
551,17.15279269088093,27580.0
552,17.15049950941093,10625.0
