,log_gross,version_count,release_width
146,12.805889435209744,0,48.0
147,12.72074486166474,0,31.0
148,12.699594417458622,0,37.0
150,12.509431197366963,1,99.0
151,12.506943610908413,0,68.0
153,12.42954814174458,0,39.0
154,12.31087400488925,0,25.0
155,12.271279693154108,0,45.0
156,12.227702034653051,0,34.0
157,12.221177983305777,0,89.0
158,12.191887510538093,0,59.0
159,12.162340169665168,0,40.0
160,12.088093965736725,0,49.0
161,12.038724426704706,0,74.0
162,12.03553933355072,0,68.0
164,11.919802908596225,0,35.0
165,11.874139093479888,0,60.0
166,11.783753807849848,0,73.0
168,11.52098291634796,0,21.0
169,11.429195969438696,0,27.0
170,11.383249487813838,1,33.0
172,11.061138892943045,0,16.0
174,10.604379663543519,0,10.0
176,10.312811870970013,0,10.0
179,9.831615540298333,0,4.0
180,9.745487807887239,0,9.0
181,9.705463352014883,0,8.0
182,9.56317796268366,2,9.0
183,9.4053313318708,0,16.0
184,9.2237500588861,0,7.0
185,9.212038928611765,0,10.0
186,8.917444732471514,1,2.0
187,8.753055515138222,1,7.0
188,8.717354666338522,0,11.0
189,8.5422759717837,0,10.0
190,7.942717540573791,0,24.0
191,20.094679723519874,0,4366.0
192,19.92061423102686,11,4404.0
199,19.49423568643956,8,3792.0
200,19.492280586128313,3,4285.0
201,19.48899023214754,0,4207.0
202,19.485436431658634,5,3858.0
203,19.45591458855544,18,3603.0
204,19.440691657672144,9,3545.0
205,19.42897694654453,27,3820.0
206,19.38381109892696,3,3682.0
207,19.369891051521567,15,3928.0
209,19.36222202054869,3,3648.0
210,19.360529689131695,6,3407.0
211,19.357243749684233,13,3875.0
212,19.354671128715392,22,3675.0
213,19.341715899229534,5,2201.0
215,19.303296894253247,7,2808.0
216,19.165542090570952,7,3280.0
217,19.157982020610962,6,3626.0
218,19.145612771548517,2,3790.0
219,19.140196078939596,6,3858.0
220,19.114233802132844,4,4065.0
221,19.10377918966763,2,3804.0
223,19.04580824717542,14,3703.0
224,19.030615388236193,8,2893.0
225,19.029770870120025,13,2425.0
227,19.02290947393226,3,3407.0
228,18.959976791483097,6,2903.0
229,18.924444942436224,7,2369.0
230,18.90822769773983,1,2644.0
231,18.90788163643972,1,3650.0
233,18.84364031432415,2,3325.0
235,18.828616876563267,7,3504.0
236,18.813860420914867,4,1537.0
238,18.8076694497391,8,1830.0
239,18.790391046238707,1,2568.0
240,18.752240562954956,4,3502.0
241,18.73840796395287,36,3115.0
242,18.734040606961933,7,2875.0
243,18.728352948179086,5,3247.0
245,18.708699679659347,5,3411.0
246,18.70121972768207,8,3017.0
247,18.686459196517912,3,3117.0
248,18.68549744489153,2,3915.0
250,18.64640072541819,7,3602.0
251,18.61908658565935,6,1806.0
252,18.6042185608021,2,3540.0
254,18.582276999417342,7,3134.0
256,18.574269883288128,7,3816.0
258,18.549994212378206,11,3342.0
259,18.549263659284083,7,3120.0
260,18.535794192763895,7,3565.0
261,18.526186616045432,4,2938.0
263,18.504709407906162,13,2313.0
264,18.501205178653727,16,2705.0
266,18.493092554866138,3,3611.0
268,18.4872702042257,2,2537.0
269,18.48654027030322,5,2668.0
271,18.48440691334659,23,3490.0
272,18.47198781424503,0,2604.0
273,18.458557188596846,8,3500.0
275,18.436861841025,7,2537.0
276,18.433553157795238,12,2556.0
277,18.43218874219965,6,2087.0
278,18.429841941739745,6,2314.0
279,18.428331958614713,14,2022.0
280,18.42605669758384,7,3365.0
282,18.423137832835597,6,3515.0
283,18.42274117979579,16,3505.0
284,18.397319748366403,4,3434.0
285,18.373040684159275,6,3445.0
287,18.367649719533546,8,3111.0
288,18.367113297218435,7,3454.0
292,18.35224680551894,0,3040.0
293,18.35191839232224,5,2755.0
294,18.3393216752557,8,2935.0
295,18.338550645026114,13,2365.0
296,18.320471084274462,1,2835.0
300,18.28035772320217,9,3302.0
301,18.273377096275183,7,1451.0
304,18.252563017459092,22,3465.0
308,18.24111305976803,11,2248.0
309,18.234532944418852,8,2168.0
310,18.21241218434949,12,1587.0
311,18.20090933805941,1,3785.0
312,18.19412072565547,9,3755.0
313,18.180964546830946,2,2433.0
314,18.180094563105257,2,3242.0
316,18.1683481189136,12,1937.0
317,18.16234343141923,3,3735.0
318,18.154524088451897,7,2712.0
319,18.14601800431744,6,2806.0
320,18.14593040174729,2,3006.0
322,18.140051501719494,1,2505.0
324,18.115614586771088,13,1582.0
325,18.11480947312768,6,2901.0
326,18.096151807336962,4,3515.0
327,18.095191516669487,10,1963.0
328,18.09227079755085,3,3603.0
330,18.08546675740242,8,2037.0
331,18.085440386256646,1,1986.0
332,18.084395859779587,11,3212.0
333,18.082680704835052,17,1950.0
336,18.07127978035646,0,3365.0
337,18.0697819146698,7,1395.0
339,18.066468778675688,15,1725.0
341,18.06075722911637,1,2688.0
344,18.029999218191936,9,2230.0
345,18.0297498949218,7,1602.0
346,18.029685953968507,4,2845.0
347,18.026701687863834,8,1704.0
348,18.02549531344687,5,2610.0
349,18.0192320044269,5,2848.0
350,18.01237711104174,5,3121.0
352,17.99307933073895,8,1420.0
353,17.992779870781543,26,3525.0
354,17.983987163478957,6,1625.0
355,17.977000693134215,3,3255.0
356,17.974494667470633,8,3611.0
357,17.970738688865335,13,1337.0
358,17.967208153049775,11,1137.0
